result_version,session_mode,id,category,message,intent_hint,status_code,ok,confirm_required,intent,model_source,run_id,latency_ms,tested_at,response,error
v20260228-cloud-probe,isolated,DQ011,能力与流程,你这边是24小时都能下单吗，夜里会怎么安排？,CLARIFY_OR_POLICY,200,True,False,CREATE_ORDER,cloud,7969b1b6-ae62-47f7-9399-bbebba952d3f,1259,2026-03-01T02:04:08,我来帮您下单，先确认一下您要办哪类服务：瓶装配送、换瓶、安装、安检、报修，还是配件？,
v20260228-cloud-probe,isolated,DQ012,能力与流程,我比较着急，你回答能不能短一点，别太官方。,CLARIFY_OR_POLICY,200,True,False,UNKNOWN,cloud,a5510949-53ef-42ae-ba2b-dd7161eee12b,1321,2026-03-01T02:04:10,"可以的，我会按最少必要信息一步步问您，不会让您一次填很多项。
我现在能直接处理：下单、查订单、支付、取消、改址、投诉建议、修改昵称、改密码、地址增改删和购物车加减结算。
下单时我会默认带出您的常用联系人和默认地址，您只要说需要改哪一项就行。",
v20260228-cloud-probe,isolated,DQ013,能力与流程,如果我说错了服务类型，你会提醒我改吗？,CLARIFY_OR_POLICY,200,True,False,UNKNOWN,cloud,59ff1f47-58f5-4e26-8431-04518a920486,792,2026-03-01T02:04:10,"我帮您查到 0 条未读消息：
1. 通知ID 20（已读）：订单已创建
2. 通知ID 19（已读）：订单已创建
3. 通知ID 18（已读）：订单已创建
4. 通知ID 17（已读）：订单已创建
5. 通知ID 16（已读）：订单已创建
您可以回复“把通知ID 123 标记已读”或“全部已读”。",
v20260228-cloud-probe,isolated,DQ014,能力与流程,我有时候会发语音转文字，错别字挺多，你能看懂吗？,CLARIFY_OR_POLICY,200,True,False,UNKNOWN,cloud,79e51cb3-8ca0-4b62-a321-42a4c76f0216,2885,2026-03-01T02:04:13,我在这边。您再具体说一句场景，我会直接给您可执行的处理建议。,
v20260228-cloud-probe,isolated,DQ015,能力与流程,你是机器人我知道，但回复能不能别那么模板化。,CLARIFY_OR_POLICY,200,True,False,UNKNOWN,cloud,ea3c6a00-c73a-4c83-8cc7-8d2bb07b9050,2485,2026-03-01T02:04:16,我在这边。您再具体说一句场景，我会直接给您可执行的处理建议。,
v20260228-cloud-probe,isolated,DQ016,能力与流程,先告诉我：你现在能做、不能做的各三条就行。,CLARIFY_OR_POLICY,200,True,False,UNKNOWN,cloud,eece6fa5-d05a-43a7-879f-a688f89c84da,1160,2026-03-01T02:04:17,"可以的，我会按最少必要信息一步步问您，不会让您一次填很多项。
我现在能直接处理：下单、查订单、支付、取消、改址、投诉建议、修改昵称、改密码、地址增改删和购物车加减结算。
下单时我会默认带出您的常用联系人和默认地址，您只要说需要改哪一项就行。",
v20260228-cloud-probe,isolated,DQ017,下单-瓶装配送,我要叫气，今天能送吗？,ORDER_CREATE,200,True,False,UNKNOWN,cloud,1ad204be-3465-4dbb-b1c5-ce09a30f51e4,3030,2026-03-01T02:04:20,没问题，我可以直接帮您下单。您先说服务类型或规格数量，我会一步步确认后再提交。,
v20260228-cloud-probe,isolated,DQ018,下单-瓶装配送,帮我送两瓶15公斤的，越快越好。,ORDER_CREATE,200,True,False,CREATE_ORDER,cloud,286cf6e7-d8ea-4945-aa74-6a382217ece8,1283,2026-03-01T02:04:22,我来帮您下单，先确认一下您要办哪类服务：瓶装配送、换瓶、安装、安检、报修，还是配件？,
v20260228-cloud-probe,isolated,DQ019,下单-瓶装配送,我这边后厨快没气了，先来一瓶45kg顶着用。,ORDER_CREATE,200,True,False,CREATE_ORDER,cloud,5590b6b5-ead0-4d01-bef7-05365734f1d8,1254,2026-03-01T02:04:23,我来帮您下单，先确认一下您要办哪类服务：瓶装配送、换瓶、安装、安检、报修，还是配件？,
v20260228-cloud-probe,isolated,DQ020,下单-瓶装配送,15kg来2瓶，地址先用我默认的。,ORDER_CREATE,200,True,False,CREATE_ORDER,cloud,6945810a-7cd8-4250-b112-5573282d733c,1350,2026-03-01T02:04:25,我来帮您下单，先确认一下您要办哪类服务：瓶装配送、换瓶、安装、安检、报修，还是配件？,
